통계년월,통계시도명,통계시군구명,중위소득비율구분,가족유형,수급자수,수급가구수
201803,서울특별시,종로구,중위소득40%미만,모자가족,564,239
201803,서울특별시,종로구,중위소득40%미만,부자가족,192,76
201803,서울특별시,종로구,중위소득41~52%미만,부자가족,14,7
201803,서울특별시,종로구,기타(중위소득72%이상),부자가족,1,0
201803,서울특별시,종로구,중위소득40%미만,청소년모자,14,7
201803,서울특별시,종로구,중위소득40%미만,청소년부자,2,1
201803,서울특별시,종로구,중위소득41~52%미만,모자가족,96,40
201803,서울특별시,종로구,중위소득53~60%미만,모자가족,2,1
201803,서울특별시,종로구,기타(중위소득72%이상),모자가족,8,3
201803,서울특별시,중구,중위소득40%미만,부자가족,144,58
201803,서울특별시,중구,중위소득41~52%미만,부자가족,22,10
201803,서울특별시,중구,중위소득40%미만,청소년모자,8,4
201803,서울특별시,중구,중위소득41~52%미만,모자가족,108,44
201803,서울특별시,중구,중위소득40%미만,모자가족,485,210
201803,서울특별시,중구,중위소득60~72%미만,모자가족,2,1
201803,서울특별시,중구,기타(중위소득72%이상),모자가족,3,2
201803,서울특별시,용산구,중위소득40%미만,부자가족,230,96
201803,서울특별시,용산구,중위소득41~52%미만,부자가족,38,17
201803,서울특별시,용산구,중위소득40%미만,조손가족,6,3
201803,서울특별시,용산구,중위소득40%미만,모자가족,787,361
201803,서울특별시,용산구,중위소득40%미만,청소년모자,16,11
201803,서울특별시,용산구,중위소득41~52%미만,청소년모자,2,1
201803,서울특별시,용산구,중위소득53~60%미만,청소년부자,2,1
201803,서울특별시,용산구,중위소득41~52%미만,모자가족,179,74
201803,서울특별시,성동구,기타(중위소득72%이상),모자가족,9,4
201803,서울특별시,성동구,중위소득40%미만,부자가족,375,164
201803,서울특별시,성동구,중위소득41~52%미만,부자가족,69,30
201803,서울특별시,성동구,중위소득60~72%미만,부자가족,4,1
201803,서울특별시,성동구,기타(중위소득72%이상),부자가족,2,1
201803,서울특별시,성동구,중위소득40%미만,조손가족,11,5
201803,서울특별시,성동구,중위소득41~52%미만,조손가족,2,1
201803,서울특별시,성동구,중위소득40%미만,청소년모자,12,6
201803,서울특별시,성동구,중위소득41~52%미만,청소년모자,4,2
201803,서울특별시,성동구,중위소득40%미만,청소년부자,1,1
201803,서울특별시,성동구,중위소득41~52%미만,모자가족,225,93
201803,서울특별시,성동구,중위소득53~60%미만,모자가족,14,6
201803,서울특별시,성동구,중위소득40%미만,모자가족,1177,488
201803,서울특별시,성동구,중위소득60~72%미만,모자가족,2,1
201803,서울특별시,광진구,중위소득40%미만,부자가족,482,203
201803,서울특별시,광진구,중위소득41~52%미만,부자가족,63,29
201803,서울특별시,광진구,중위소득53~60%미만,부자가족,2,1
201803,서울특별시,광진구,중위소득60~72%미만,부자가족,3,1
201803,서울특별시,광진구,기타(중위소득72%이상),부자가족,4,2
201803,서울특별시,광진구,중위소득40%미만,조손가족,11,5
201803,서울특별시,광진구,중위소득40%미만,청소년모자,23,11
201803,서울특별시,광진구,중위소득40%미만,청소년부자,10,5
201803,서울특별시,광진구,중위소득41~52%미만,모자가족,365,151
201803,서울특별시,광진구,중위소득53~60%미만,모자가족,13,6
201803,서울특별시,광진구,중위소득40%미만,모자가족,1982,813
201803,서울특별시,광진구,중위소득60~72%미만,모자가족,11,4
201803,서울특별시,광진구,기타(중위소득72%이상),모자가족,18,8
201803,서울특별시,동대문구,기타(중위소득72%이상),모자가족,12,6
201803,서울특별시,동대문구,중위소득40%미만,부자가족,585,244
201803,서울특별시,동대문구,중위소득41~52%미만,부자가족,71,29
201803,서울특별시,동대문구,중위소득53~60%미만,부자가족,2,1
201803,서울특별시,동대문구,기타(중위소득72%이상),부자가족,3,1
201803,서울특별시,동대문구,중위소득40%미만,조손가족,19,8
201803,서울특별시,동대문구,중위소득40%미만,청소년모자,21,10
201803,서울특별시,동대문구,중위소득40%미만,모자가족,1901,782
201803,서울특별시,동대문구,중위소득40%미만,청소년부자,4,3
201803,서울특별시,동대문구,중위소득41~52%미만,모자가족,258,110
201803,서울특별시,동대문구,중위소득53~60%미만,모자가족,10,5
201803,서울특별시,동대문구,중위소득60~72%미만,모자가족,10,5
201803,서울특별시,중랑구,중위소득40%미만,부자가족,1036,427
201803,서울특별시,중랑구,중위소득41~52%미만,부자가족,162,67
201803,서울특별시,중랑구,중위소득53~60%미만,부자가족,8,4
201803,서울특별시,중랑구,중위소득60~72%미만,부자가족,2,1
201803,서울특별시,중랑구,기타(중위소득72%이상),부자가족,12,5
201803,서울특별시,중랑구,중위소득40%미만,조손가족,15,6
201803,서울특별시,중랑구,기타(중위소득72%이상),조손가족,3,1
201803,서울특별시,중랑구,중위소득40%미만,청소년모자,65,33
201803,서울특별시,중랑구,중위소득53~60%미만,청소년모자,2,1
201803,서울특별시,중랑구,중위소득40%미만,청소년부자,14,7
201803,서울특별시,중랑구,중위소득41~52%미만,모자가족,608,261
201803,서울특별시,중랑구,중위소득40%미만,모자가족,3472,1421
201803,서울특별시,중랑구,중위소득53~60%미만,모자가족,19,7
201803,서울특별시,중랑구,중위소득60~72%미만,모자가족,13,6
201803,서울특별시,중랑구,기타(중위소득72%이상),모자가족,16,8
201803,서울특별시,성북구,중위소득40%미만,부자가족,611,251
201803,서울특별시,성북구,중위소득41~52%미만,부자가족,104,43
201803,서울특별시,성북구,중위소득53~60%미만,부자가족,2,1
201803,서울특별시,성북구,기타(중위소득72%이상),부자가족,3,1
201803,서울특별시,성북구,중위소득40%미만,조손가족,19,7
201803,서울특별시,성북구,중위소득40%미만,청소년모자,40,21
201803,서울특별시,성북구,중위소득41~52%미만,모자가족,435,178
201803,서울특별시,성북구,중위소득40%미만,모자가족,2295,926
201803,서울특별시,성북구,중위소득53~60%미만,모자가족,32,14
201803,서울특별시,성북구,중위소득60~72%미만,모자가족,5,2
201803,서울특별시,성북구,기타(중위소득72%이상),모자가족,2,1
201803,서울특별시,강북구,기타(중위소득72%이상),모자가족,2,1
201803,서울특별시,강북구,중위소득40%미만,부자가족,800,339
201803,서울특별시,강북구,중위소득41~52%미만,부자가족,93,38
201803,서울특별시,강북구,중위소득53~60%미만,부자가족,5,2
201803,서울특별시,강북구,기타(중위소득72%이상),부자가족,4,2
201803,서울특별시,강북구,중위소득40%미만,조손가족,38,17
201803,서울특별시,강북구,중위소득40%미만,청소년모자,34,16
201803,서울특별시,강북구,중위소득41~52%미만,청소년모자,4,2
201803,서울특별시,강북구,중위소득40%미만,모자가족,3155,1303
201803,서울특별시,강북구,중위소득40%미만,청소년부자,2,1
201803,서울특별시,강북구,중위소득41~52%미만,모자가족,450,189
201803,서울특별시,강북구,중위소득53~60%미만,모자가족,14,6
201803,서울특별시,강북구,중위소득60~72%미만,모자가족,7,3
201803,서울특별시,도봉구,중위소득40%미만,부자가족,725,301
201803,서울특별시,도봉구,중위소득41~52%미만,부자가족,112,48
201803,서울특별시,도봉구,중위소득53~60%미만,부자가족,5,2
201803,서울특별시,도봉구,중위소득60~72%미만,부자가족,2,1
201803,서울특별시,도봉구,기타(중위소득72%이상),부자가족,8,4
201803,서울특별시,도봉구,중위소득40%미만,조손가족,28,13
201803,서울특별시,도봉구,중위소득40%미만,청소년모자,53,28
201803,서울특별시,도봉구,중위소득41~52%미만,청소년모자,5,2
201803,서울특별시,도봉구,중위소득40%미만,청소년부자,2,1
