통계년월,통계시도명,통계시군구명,중위소득비율구분,가족유형,수급자수,수급가구수
201805,서울특별시,종로구,기타(중위소득72%이상),모자가족,7,3
201805,서울특별시,종로구,중위소득40%미만,부자가족,186,74
201805,서울특별시,종로구,중위소득41~52%미만,부자가족,16,7
201805,서울특별시,종로구,중위소득53~60%미만,부자가족,10,4
201805,서울특별시,종로구,중위소득60~72%미만,부자가족,6,3
201805,서울특별시,종로구,기타(중위소득72%이상),부자가족,3,1
201805,서울특별시,종로구,중위소득40%미만,청소년모자,14,7
201805,서울특별시,종로구,중위소득40%미만,청소년부자,2,1
201805,서울특별시,종로구,중위소득40%미만,모자가족,543,226
201805,서울특별시,종로구,중위소득41~52%미만,모자가족,67,28
201805,서울특별시,종로구,중위소득53~60%미만,모자가족,18,8
201805,서울특별시,종로구,중위소득60~72%미만,모자가족,2,2
201805,서울특별시,중구,중위소득40%미만,부자가족,138,56
201805,서울특별시,중구,중위소득40%미만,모자가족,511,220
201805,서울특별시,중구,중위소득41~52%미만,부자가족,29,12
201805,서울특별시,중구,중위소득53~60%미만,부자가족,4,2
201805,서울특별시,중구,중위소득40%미만,청소년모자,8,4
201805,서울특별시,중구,중위소득41~52%미만,모자가족,75,30
201805,서울특별시,중구,중위소득53~60%미만,모자가족,8,4
201805,서울특별시,중구,중위소득60~72%미만,모자가족,2,1
201805,서울특별시,중구,기타(중위소득72%이상),모자가족,5,3
201805,서울특별시,용산구,기타(중위소득72%이상),모자가족,8,3
201805,서울특별시,용산구,중위소득40%미만,부자가족,237,100
201805,서울특별시,용산구,중위소득41~52%미만,부자가족,35,15
201805,서울특별시,용산구,중위소득53~60%미만,부자가족,2,1
201805,서울특별시,용산구,중위소득40%미만,모자가족,772,354
201805,서울특별시,용산구,중위소득60~72%미만,부자가족,5,2
201805,서울특별시,용산구,기타(중위소득72%이상),부자가족,2,1
201805,서울특별시,용산구,중위소득40%미만,조손가족,6,3
201805,서울특별시,용산구,중위소득40%미만,청소년모자,14,10
201805,서울특별시,용산구,중위소득41~52%미만,청소년모자,4,2
201805,서울특별시,용산구,중위소득60~72%미만,청소년모자,2,1
201805,서울특별시,용산구,중위소득40%미만,청소년부자,2,1
201805,서울특별시,용산구,중위소득41~52%미만,모자가족,162,67
201805,서울특별시,용산구,중위소득53~60%미만,모자가족,22,10
201805,서울특별시,용산구,중위소득60~72%미만,모자가족,2,1
201805,서울특별시,성동구,중위소득40%미만,부자가족,376,165
201805,서울특별시,성동구,중위소득40%미만,모자가족,1195,499
201805,서울특별시,성동구,중위소득41~52%미만,부자가족,64,27
201805,서울특별시,성동구,중위소득53~60%미만,부자가족,4,2
201805,서울특별시,성동구,기타(중위소득72%이상),부자가족,3,2
201805,서울특별시,성동구,중위소득40%미만,조손가족,11,5
201805,서울특별시,성동구,중위소득41~52%미만,조손가족,2,1
201805,서울특별시,성동구,중위소득40%미만,청소년모자,24,12
201805,서울특별시,성동구,중위소득41~52%미만,청소년부자,1,1
201805,서울특별시,성동구,중위소득41~52%미만,모자가족,177,73
201805,서울특별시,성동구,중위소득53~60%미만,모자가족,31,13
201805,서울특별시,성동구,기타(중위소득72%이상),모자가족,5,2
201805,서울특별시,광진구,기타(중위소득72%이상),모자가족,20,9
201805,서울특별시,광진구,중위소득40%미만,부자가족,481,202
201805,서울특별시,광진구,중위소득40%미만,모자가족,1950,798
201805,서울특별시,광진구,중위소득41~52%미만,부자가족,73,33
201805,서울특별시,광진구,중위소득53~60%미만,부자가족,13,6
201805,서울특별시,광진구,중위소득60~72%미만,부자가족,2,1
201805,서울특별시,광진구,기타(중위소득72%이상),부자가족,14,6
201805,서울특별시,광진구,중위소득40%미만,조손가족,9,4
201805,서울특별시,광진구,중위소득40%미만,청소년모자,19,9
201805,서울특별시,광진구,기타(중위소득72%이상),청소년모자,2,1
201805,서울특별시,광진구,중위소득40%미만,청소년부자,10,5
201805,서울특별시,광진구,중위소득41~52%미만,모자가족,396,162
201805,서울특별시,광진구,중위소득53~60%미만,모자가족,51,22
201805,서울특별시,광진구,중위소득60~72%미만,모자가족,11,4
201805,서울특별시,동대문구,중위소득40%미만,부자가족,560,233
201805,서울특별시,동대문구,중위소득41~52%미만,부자가족,82,33
201805,서울특별시,동대문구,중위소득53~60%미만,부자가족,10,5
201805,서울특별시,동대문구,기타(중위소득72%이상),부자가족,2,1
201805,서울특별시,동대문구,중위소득40%미만,조손가족,16,7
201805,서울특별시,동대문구,중위소득40%미만,청소년모자,19,9
201805,서울특별시,동대문구,중위소득40%미만,청소년부자,4,3
201805,서울특별시,동대문구,중위소득41~52%미만,모자가족,268,112
201805,서울특별시,동대문구,중위소득53~60%미만,모자가족,39,18
201805,서울특별시,동대문구,중위소득40%미만,모자가족,1824,756
201805,서울특별시,동대문구,중위소득60~72%미만,모자가족,4,2
201805,서울특별시,동대문구,기타(중위소득72%이상),모자가족,14,6
201805,서울특별시,중랑구,기타(중위소득72%이상),모자가족,65,27
201805,서울특별시,중랑구,중위소득40%미만,부자가족,1023,419
201805,서울특별시,중랑구,중위소득40%미만,모자가족,3392,1392
201805,서울특별시,중랑구,중위소득41~52%미만,부자가족,151,63
201805,서울특별시,중랑구,중위소득53~60%미만,부자가족,16,8
201805,서울특별시,중랑구,중위소득60~72%미만,부자가족,4,2
201805,서울특별시,중랑구,기타(중위소득72%이상),부자가족,29,13
201805,서울특별시,중랑구,중위소득40%미만,조손가족,21,8
201805,서울특별시,중랑구,중위소득40%미만,청소년모자,67,34
201805,서울특별시,중랑구,중위소득41~52%미만,청소년모자,4,2
201805,서울특별시,중랑구,중위소득40%미만,청소년부자,12,6
201805,서울특별시,중랑구,기타(중위소득72%이상),청소년부자,2,1
201805,서울특별시,중랑구,중위소득41~52%미만,모자가족,595,251
201805,서울특별시,중랑구,중위소득53~60%미만,모자가족,89,38
201805,서울특별시,중랑구,중위소득60~72%미만,모자가족,48,21
201805,서울특별시,성북구,중위소득40%미만,부자가족,604,246
201805,서울특별시,성북구,중위소득40%미만,모자가족,2269,915
201805,서울특별시,성북구,중위소득41~52%미만,부자가족,83,36
201805,서울특별시,성북구,중위소득53~60%미만,부자가족,11,5
201805,서울특별시,성북구,중위소득60~72%미만,부자가족,3,1
201805,서울특별시,성북구,기타(중위소득72%이상),부자가족,20,9
201805,서울특별시,성북구,중위소득40%미만,조손가족,19,7
201805,서울특별시,성북구,중위소득40%미만,청소년모자,42,22
201805,서울특별시,성북구,중위소득40%미만,청소년부자,2,1
201805,서울특별시,성북구,중위소득41~52%미만,모자가족,474,189
201805,서울특별시,성북구,중위소득53~60%미만,모자가족,50,22
201805,서울특별시,성북구,중위소득60~72%미만,모자가족,8,3
201805,서울특별시,성북구,기타(중위소득72%이상),모자가족,26,12
201805,서울특별시,강북구,중위소득40%미만,부자가족,799,340
201805,서울특별시,강북구,중위소득41~52%미만,부자가족,85,34
201805,서울특별시,강북구,중위소득53~60%미만,부자가족,23,9
201805,서울특별시,강북구,중위소득60~72%미만,부자가족,6,3
201805,서울특별시,강북구,기타(중위소득72%이상),부자가족,11,5
201805,서울특별시,강북구,중위소득40%미만,조손가족,36,17
201805,서울특별시,강북구,기타(중위소득72%이상),조손가족,2,0
201805,서울특별시,강북구,중위소득40%미만,청소년모자,35,17
201805,서울특별시,강북구,중위소득41~52%미만,청소년모자,4,2
201805,서울특별시,강북구,중위소득40%미만,청소년부자,2,1
201805,서울특별시,강북구,중위소득41~52%미만,모자가족,514,210
201805,서울특별시,강북구,중위소득53~60%미만,모자가족,60,27
201805,서울특별시,강북구,중위소득40%미만,모자가족,3078,1273
201805,서울특별시,강북구,중위소득60~72%미만,모자가족,14,6
201805,서울특별시,강북구,기타(중위소득72%이상),모자가족,20,8
201805,서울특별시,도봉구,기타(중위소득72%이상),모자가족,48,19
201805,서울특별시,도봉구,중위소득40%미만,부자가족,678,281
201805,서울특별시,도봉구,중위소득41~52%미만,부자가족,114,50
201805,서울특별시,도봉구,중위소득53~60%미만,부자가족,19,7
201805,서울특별시,도봉구,중위소득60~72%미만,부자가족,4,2
201805,서울특별시,도봉구,기타(중위소득72%이상),부자가족,20,9
